Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.11000000E+000  0.99983304E+000  0.64640338E+000 -0.74929490E+000  0.98958586E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98770387E+000  0.12129175E-001  0.99983304E+000  0.97557469E+000
  0.11250000E+000  0.99983304E+000  0.51657709E+000 -0.84350014E+000  0.98911292E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98715199E+000  0.12681050E-001  0.99983304E+000  0.97447094E+000
  0.11500000E+000  0.99983304E+000  0.37329915E+000 -0.91544303E+000  0.98862946E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98658799E+000  0.13245049E-001  0.99983304E+000  0.97334295E+000
  0.11750000E+000  0.99983304E+000  0.22035194E+000 -0.96325322E+000  0.98813549E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98601189E+000  0.13821152E-001  0.99983304E+000  0.97219074E+000
  0.12000000E+000  0.99983304E+000  0.61768548E-001 -0.98569758E+000  0.98763104E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98542370E+000  0.14409344E-001  0.99983304E+000  0.97101436E+000
  0.12250000E+000  0.99983304E+000 -0.98273744E-001 -0.98221206E+000  0.98711613E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98482344E+000  0.15009604E-001  0.99983304E+000  0.96981383E+000
  0.12500000E+000  0.99983304E+000 -0.25556368E+000 -0.95291583E+000  0.98659078E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98421113E+000  0.15621914E-001  0.99983304E+000  0.96858921E+000
  0.12750000E+000  0.99983304E+000 -0.40596703E+000 -0.89860741E+000  0.98605503E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98358679E+000  0.16246256E-001  0.99983304E+000  0.96734053E+000
  0.13000000E+000  0.99983304E+000 -0.54553542E+000 -0.82074287E+000  0.98550888E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98295043E+000  0.16882610E-001  0.99983304E+000  0.96606782E+000
  0.13250000E+000  0.99983304E+000 -0.67061014E+000 -0.72139671E+000  0.98495237E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98230209E+000  0.17530955E-001  0.99983304E+000  0.96477113E+000
  0.13500000E+000  0.99983304E+000 -0.77791822E+000 -0.60320653E+000  0.98438553E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98164177E+000  0.18191272E-001  0.99983304E+000  0.96345050E+000
  0.13750000E+000  0.99983304E+000 -0.86465817E+000 -0.46930283E+000  0.98380837E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98096950E+000  0.18863540E-001  0.99983304E+000  0.96210596E+000
  0.14000000E+000  0.99983304E+000 -0.92857327E+000 -0.32322601E+000  0.98322092E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98028530E+000  0.19547739E-001  0.99983304E+000  0.96073756E+000
